n_intervalos,valor_exacto,trapecio_manual,trapecio_scipy,simpson_manual,simpson_scipy,error_trapecio_pct,error_simpson_pct
10,805.6288468889,801.6173215952,801.6173215952,805.5817234926,805.5817234926,0.4979371468,0.0058492687
20,805.6288468889,804.6236546016,804.6236546016,805.6257656038,805.6257656038,0.1247711389,0.0003824696
50,805.6288468889,805.4679113854,805.4679113854,805.6287670022,805.6287670022,0.0199763829,0.0000099161
100,805.6288468889,805.5886092615,805.5886092615,805.6288418869,805.6288418869,0.0049945614,0.0000006209
200,805.6288468889,805.6187872475,805.6187872475,805.6288465761,805.6288465761,0.0012486695,0.0000000388
500,805.6288468889,805.6272373357,805.6272373357,805.6288468809,805.6288468809,0.0001997884,0.0000000010
1000,805.6288468889,805.6284445002,805.6284445002,805.6288468884,805.6288468884,0.0000499472,0.0000000001
